City Name,2015,2016
Almaty,263,288
Astana,341,416
Aktau,298,416
Aktobe,245,329
Atyrau,265,283
Zhezkazgan,260,306
Karaganda,258,277
Kokshetau,259,300
Kostanay,276,308
Kyzylorda,193,207
Pavlodar,230,256
Petropavlsk,271,305
Semey,255,307
Taldykorgan,230,266
Taraz,236,263
Oral,245,296
Oskemen,263,301
Shymkent,231,239
